id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
A1BG	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	4.79248319676588e-09	TRUE	5.83547460971292e-198
A2M	fa4z0e	Proteins	Bile.duct.cancer	0.0107024785355905	8.84496708007064e-07	TRUE	8.78414835830642e-26
A2ML1	fa4z0e	Proteins	Bile.duct.cancer	0.0369899189081858	3.76261879535369e-07	TRUE	2.42583797375954e-87
ABHD10	fa4z0e	Proteins	Bile.duct.cancer	0.00485672874913034	2.28711586908012e-07	TRUE	1.50482503878629e-12
ABLIM3	fa4z0e	Proteins	Bile.duct.cancer	0.016304779111331	9.80173934891117e-07	TRUE	1.22037645489857e-38
ACAA1	fa4z0e	Proteins	Bile.duct.cancer	0.0253714776853766	1.58619379035978e-06	TRUE	1.0644970290611e-181
ACADM	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.7882719448674e-06	TRUE	2.82563446257567e-196
ACADSB	fa4z0e	Proteins	Bile.duct.cancer	0.0769024802017609	1.04633408018128e-07	TRUE	3.16096277653431e-185
ACADVL	fa4z0e	Proteins	Bile.duct.cancer	0.00104152683296312	3.45258062265755e-11	TRUE	5.85256405926197e-09
ACAT1	fa4z0e	Proteins	Bile.duct.cancer	0.0645696569019303	7.82345001055455e-06	TRUE	1.39090603741791e-151
ACAT2	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	1.21956735472263e-07	TRUE	1.37649622795599e-197
ACE	fa4z0e	Proteins	Bile.duct.cancer	0.0818129490247049	9.26735372279417e-07	TRUE	8.99687542528922e-197
ACOT13	fa4z0e	Proteins	Bile.duct.cancer	0.00649833623735008	7.74196126961952e-07	TRUE	3.52369188980273e-16
ACOT8	fa4z0e	Proteins	Bile.duct.cancer	0.00612106736274638	6.79104682130426e-07	TRUE	2.45850978850323e-15
ACP1	fa4z0e	Proteins	Bile.duct.cancer	0.599764090492822	1.11267121873815e-06	TRUE	1.52353713564506e-231
