#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	proteins
GO:0007155	Cell adhesion	7	965	1.11	0.9	0.0018	NCAN,VCAN,CNTN2,BCAN,L1CAM,ACAN,NCAM1
GO:0007399	Nervous system development	9	2188	0.87	0.69	0.0018	NCAN,GPC1,VCAN,CNTN2,BCAN,L1CAM,PTPRZ1,ACAN,NCAM1
GO:0007417	Central nervous system development	6	1035	1.02	0.54	0.0411	NCAN,VCAN,CNTN2,BCAN,PTPRZ1,ACAN
GO:0032989	Cellular component morphogenesis	5	603	1.17	0.59	0.0411	GPC1,CNTN2,L1CAM,PTPRZ1,NCAM1
GO:0042063	Gliogenesis	4	248	1.46	0.67	0.0411	GPC1,VCAN,CNTN2,PTPRZ1
GO:0048856	Anatomical structure development	10	5117	0.54	0.34	0.0411	NCAN,GPC1,VCAN,CNTN2,BCAN,L1CAM,PTPRZ1,ACAN,MEF2B,NCAM1
GO:0005540	Hyaluronic acid binding	4	30	2.38	2.57	1.19E-05	NCAN,VCAN,BCAN,ACAN
GO:0030246	Carbohydrate binding	5	278	1.51	1.35	0.00063	NCAN,VCAN,CNTN2,BCAN,ACAN
GO:0031012	Extracellular matrix	9	552	1.47	2.49	1.23E-09	NCAN,GPC1,VCAN,BCAN,SDC3,L1CAM,PTPRZ1,ACAN,NCAM1
GO:0062023	Collagen-containing extracellular matrix	8	407	1.55	2.63	3.85E-09	GPC1,VCAN,BCAN,SDC3,L1CAM,PTPRZ1,ACAN,NCAM1
GO:0043202	Lysosomal lumen	6	97	2.04	3.75	4.07E-09	NCAN,GPC1,VCAN,BCAN,SDC3,ACAN
GO:0005796	Golgi lumen	6	106	2.01	3.64	5.43E-09	NCAN,GPC1,VCAN,BCAN,SDC3,ACAN
GO:0098966	Perisynaptic extracellular matrix	3	6	2.95	3.01	3.17E-06	BCAN,PTPRZ1,ACAN
GO:0031225	Anchored component of membrane	4	171	1.62	1.52	0.00035	GPC1,CNTN2,BCAN,NCAM1
GO:0072534	Perineuronal net	2	4	2.95	1.75	0.00067	BCAN,PTPRZ1
GO:0005794	Golgi apparatus	7	1650	0.88	0.73	0.001	NCAN,GPC1,VCAN,BCAN,SDC3,ACAN,NCAM1
GO:0030054	Cell junction	7	2115	0.77	0.57	0.005	GPC1,CNTN2,BCAN,L1CAM,PTPRZ1,ACAN,MEF2B
GO:0071944	Cell periphery	10	6015	0.47	0.36	0.0072	NCAN,GPC1,VCAN,CNTN2,BCAN,SDC3,L1CAM,PTPRZ1,ACAN,NCAM1
GO:0009986	Cell surface	5	894	1	0.69	0.0086	GPC1,CNTN2,SDC3,L1CAM,NCAM1
